# Hall C HV Backup
# Backup created:	2019-04-15 08:24:37
# Comment:	
#
# Detector: HMS Hodo 1 X
# chid	group	crate	slot	channel
s1x09+(L)	11	14	0	21
s1x13+(L)	11	14	2	1
s1x12+(L)	11	14	2	0
s1x08+(L)	11	14	0	20
#
# Detector: SHMS Hodo 1 Y
# chid	group	crate	slot	channel
s1y11-(T)	12	14	2	12
s1y12-(T)	12	14	2	13
s1y09-(T)	12	14	2	10
s1y10-(T)	12	14	2	11
s1y02+(B)	12	14	2	16
s1y03+(B)	12	14	2	17
s1y13-(T)	12	14	2	14
s1y01+(B)	12	14	2	15
s1y13+(B)	12	14	4	3
s1y04+(B)	12	14	2	18
s1y05+(B)	12	14	2	19
s1y12+(B)	12	14	4	2
s1y11+(B)	12	14	4	1
s1y10+(B)	12	14	4	0
s1y09+(B)	12	14	2	23
s1y08+(B)	12	14	2	22
s1y07+(B)	12	14	2	21
s1y06+(B)	12	14	2	20
s1y02-(T)	12	14	2	3
s1y01-(T)	12	14	2	2
s1y04-(T)	12	14	2	5
s1y03-(T)	12	14	2	4
s1y06-(T)	12	14	2	7
s1y05-(T)	12	14	2	6
s1y08-(T)	12	14	2	9
s1y07-(T)	12	14	2	8
#
# Detector: SHMS Hodo 2 X
# chid	group	crate	slot	channel
s2x04-(R)	13	14	4	7
s2x03-(R)	13	14	4	6
s2x02-(R)	13	14	4	5
s2x01-(R)	13	14	4	4
s2x04+(L)	13	14	4	21
s2x03+(L)	13	14	4	20
s2x06+(L)	13	14	4	23
s2x05+(L)	13	14	4	22
s2x06-(R)	13	14	4	9
s2x05-(R)	13	14	4	8
s2x12+(L)	13	14	6	5
s2x11+(L)	13	14	6	4
s2x14+(L)	13	14	6	7
s2x13+(L)	13	14	6	6
s2x08+(L)	13	14	6	1
s2x07+(L)	13	14	6	0
s2x10+(L)	13	14	6	3
s2x09+(L)	13	14	6	2
s2x07-(R)	13	14	4	10
s2x08-(R)	13	14	4	11
s2x09-(R)	13	14	4	12
s2x10-(R)	13	14	4	13
s2x11-(R)	13	14	4	14
s2x12-(R)	13	14	4	15
s2x13-(R)	13	14	4	16
s2x14-(R)	13	14	4	17
s2x01+(L)	13	14	4	18
s2x02+(L)	13	14	4	19
#
# Detector: SHMS Hodo 2 Y
# chid	group	crate	slot	channel
s2y14+(B)	14	14	10	10
s2y04-(T)	14	14	8	3
s2y03+(B)	14	14	10	19
s2y03-(T)	14	14	10	18
s2y08-(T)	14	14	8	7
s2y07-(T)	14	14	8	6
s2y06-(T)	14	14	8	5
s2y05-(T)	14	14	8	4
s2y17+(B)	14	14	10	13
s2y16+(B)	14	14	10	12
s2y10-(T)	14	14	8	9
s2y09-(T)	14	14	8	8
s2y18+(B)	14	14	10	14
s2y15-(T)	14	14	8	14
s2y16-(T)	14	14	8	15
s2y17-(T)	14	14	8	16
s2y18-(T)	14	14	8	17
s2y11-(T)	14	14	8	10
s2y12-(T)	14	14	8	11
s2y13-(T)	14	14	8	12
s2y14-(T)	14	14	8	13
s2y08+(B)	14	14	10	4
s2y09+(B)	14	14	10	5
s2y10+(B)	14	14	10	6
s2y11+(B)	14	14	10	7
s2y04+(B)	14	14	10	0
s2y05+(B)	14	14	10	1
s2y06+(B)	14	14	10	2
s2y07+(B)	14	14	10	3
s2y12+(B)	14	14	10	8
s2y13+(B)	14	14	10	9
s2y15+(B)	14	14	10	11
#
# Detector: SHMS HGC
# chid	group	crate	slot	channel
HGC4	15	14	6	23
HGC3	15	14	6	22
HGC2	15	14	6	21
HGC1	15	14	6	20
NDX-POSHV	15	14	10	16
#
# Detector: SHMS NGC
# chid	group	crate	slot	channel
#
# Detector: SHMS Aerogel
# chid	group	crate	slot	channel
sAERO07+	17	14	12	6
sAERO01-	17	14	12	7
sAERO05+	17	14	12	4
sAERO06+	17	14	12	5
sAERO03+	17	14	12	2
sAERO04+	17	14	12	3
sAERO01+	17	14	12	0
sAERO02+	17	14	12	1
sAERO06-	17	14	12	12
sAERO02-	17	14	12	8
sAERO03-	17	14	12	9
sAERO07-	17	14	12	13
sAERO05-	17	14	12	11
sAERO04-	17	14	12	10
#
# Detector: SHMS Preshower
# chid	group	crate	slot	channel
sPre14+	18	11	0	13
sPre13+	18	11	0	12
sPre12+	18	11	0	11
sPre11+	18	11	0	10
sPre02-	18	11	1	1
sPre01-	18	11	1	0
sPre04-	18	11	1	3
sPre03-	18	11	1	2
sPre06-	18	11	1	5
sPre05-	18	11	1	4
sPre08-	18	11	1	7
sPre07-	18	11	1	6
sPre10-	18	11	1	9
sPre09-	18	11	1	8
sPre05+	18	11	0	4
sPre06+	18	11	0	5
sPre07+	18	11	0	6
sPre08+	18	11	0	7
sPre01+	18	11	0	0
sPre02+	18	11	0	1
sPre03+	18	11	0	2
sPre04+	18	11	0	3
sPre09+	18	11	0	8
sPre10+	18	11	0	9
sPre13-	18	11	1	12
sPre14-	18	11	1	13
sPre11-	18	11	1	10
sPre12-	18	11	1	11
#
# Detector: SHMS Shower A
# chid	group	crate	slot	channel
sShC14-R03	19	13	8	15
sShC13-R03	19	13	8	14
sShC02-R02	19	13	8	17
sShC01-R02	19	13	8	16
sShC10-R03	19	13	8	11
sShC09-R03	19	13	8	10
sShC12-R03	19	13	8	13
sShC11-R03	19	13	8	12
sShC04-R02	19	13	8	19
sShC03-R02	19	13	8	18
sShC11-R04	19	13	6	22
sShC12-R04	19	13	6	23
sShC09-R04	19	13	6	20
sShC10-R04	19	13	6	21
sShC13-R01	19	13	10	18
sShC14-R01	19	13	10	19
sShC11-R01	19	13	10	16
sShC12-R01	19	13	10	17
sShC09-R01	19	13	10	14
sShC10-R01	19	13	10	15
sShC07-R01	19	13	10	12
sShC08-R01	19	13	10	13
sShC05-R01	19	13	10	10
sShC06-R01	19	13	10	11
sShC13-R04	19	13	8	0
sShC14-R04	19	13	8	1
sShC05-R02	19	13	8	20
sShC06-R02	19	13	8	21
sShC07-R02	19	13	8	22
sShC08-R02	19	13	8	23
sShC05-R03	19	13	8	6
sShC06-R03	19	13	8	7
sShC03-R03	19	13	8	4
sShC04-R03	19	13	8	5
sShC01-R03	19	13	8	2
sShC02-R03	19	13	8	3
sShC08-R04	19	13	6	19
sShC07-R04	19	13	6	18
sShC06-R04	19	13	6	17
sShC05-R04	19	13	6	16
sShC04-R04	19	13	6	15
sShC03-R04	19	13	6	14
sShC02-R04	19	13	6	13
sShC01-R04	19	13	6	12
sShC07-R03	19	13	8	8
sShC08-R03	19	13	8	9
sShC04-R01	19	13	10	9
sShC03-R01	19	13	10	8
sShC14-R02	19	13	10	5
sShC13-R02	19	13	10	4
sShC02-R01	19	13	10	7
sShC01-R01	19	13	10	6
sShC10-R02	19	13	10	1
sShC09-R02	19	13	10	0
sShC12-R02	19	13	10	3
sShC11-R02	19	13	10	2
#
# Detector: SHMS Shower B
# chid	group	crate	slot	channel
sShC11-R05	20	13	6	8
sShC12-R05	20	13	6	9
sShC08-R08	20	13	2	11
sShC07-R08	20	13	2	10
sShC14-R08	20	13	2	17
sShC13-R08	20	13	2	16
sShC12-R08	20	13	2	15
sShC09-R08	20	13	2	12
sShC03-R05	20	13	6	0
sShC04-R05	20	13	6	1
sShC05-R05	20	13	6	2
sShC06-R05	20	13	6	3
sShC07-R05	20	13	6	4
sShC08-R05	20	13	6	5
sShC09-R05	20	13	6	6
sShC10-R05	20	13	6	7
sShC12-R06	20	13	4	19
sShC11-R06	20	13	4	18
sShC04-R06	20	13	4	11
sShC03-R06	20	13	4	10
sShC06-R06	20	13	4	13
sShC05-R06	20	13	4	12
sShC08-R06	20	13	4	15
sShC07-R06	20	13	4	14
sShC10-R06	20	13	4	17
sShC09-R06	20	13	4	16
sShC05-R08	20	13	2	8
sShC06-R08	20	13	2	9
sShC01-R08	20	13	2	4
sShC02-R08	20	13	2	5
sShC03-R08	20	13	2	6
sShC04-R08	20	13	2	7
sShC02-R07	20	13	2	19
sShC01-R07	20	13	2	18
sShC05-R07	20	13	2	22
sShC06-R07	20	13	2	23
sShC03-R07	20	13	2	20
sShC04-R07	20	13	2	21
sShC01-R06	20	13	4	8
sShC14-R05	20	13	6	11
sShC13-R05	20	13	6	10
sShC11-R08	20	13	2	14
sShC02-R06	20	13	4	9
sShC13-R06	20	13	4	20
sShC14-R06	20	13	4	21
sShC01-R05	20	13	4	22
sShC02-R05	20	13	4	23
sShC09-R07	20	13	4	2
sShC10-R07	20	13	4	3
sShC07-R07	20	13	4	0
sShC08-R07	20	13	4	1
sShC13-R07	20	13	4	6
sShC14-R07	20	13	4	7
sShC11-R07	20	13	4	4
sShC12-R07	20	13	4	5
sShC10-R08	20	13	2	13
#
# Detector: SHMS Shower C
# chid	group	crate	slot	channel
sShC07-R11	21	12	3	6
sShC08-R11	21	12	3	7
sShC05-R11	21	12	3	4
sShC06-R11	21	12	3	5
sShC03-R11	21	12	3	2
sShC04-R11	21	12	3	3
sShC01-R11	21	12	3	0
sShC02-R11	21	12	3	1
sShC13-R10	21	13	0	12
sShC09-R11	21	12	3	8
sShC10-R11	21	12	3	9
sShC09-R12	21	12	2	8
sShC12-R12	21	12	2	11
sShC11-R12	21	12	2	10
sShC11-R11	21	12	3	10
sShC13-R12	21	12	2	12
sShC14-R12	21	12	2	13
sShC06-R09	21	13	0	19
sShC05-R09	21	13	0	18
sShC02-R09	21	13	0	15
sShC01-R09	21	13	0	14
sShC04-R09	21	13	0	17
sShC03-R09	21	13	0	16
sShC11-R09	21	13	2	0
sShC11-R10	21	13	0	10
sShC13-R09	21	13	2	2
sShC14-R09	21	13	2	3
sShC10-R12	21	12	2	9
sShC01-R12	21	12	2	0
sShC12-R11	21	12	3	11
sShC09-R10	21	13	0	8
sShC14-R11	21	12	3	13
sShC13-R11	21	12	3	12
sShC04-R12	21	12	2	3
sShC03-R12	21	12	2	2
sShC02-R12	21	12	2	1
sShC10-R10	21	13	0	9
sShC08-R12	21	12	2	7
sShC07-R12	21	12	2	6
sShC06-R12	21	12	2	5
sShC05-R12	21	12	2	4
sShC12-R09	21	13	10	23
sShC12-R10	21	13	0	11
sShC14-R10	21	13	0	13
sShC07-R09	21	13	0	20
sShC08-R09	21	13	0	21
sShC09-R09	21	13	0	22
sShC10-R09	21	13	0	23
sShC07-R10	21	13	0	6
sShC08-R10	21	13	0	7
sShC05-R10	21	13	0	4
sShC06-R10	21	13	0	5
sShC03-R10	21	13	0	2
sShC04-R10	21	13	0	3
sShC01-R10	21	13	0	0
sShC02-R10	21	13	0	1
#
# Detector: SHMS Shower D
# chid	group	crate	slot	channel
sShC01-R15	22	11	3	0
sShC08-R15	22	11	3	7
sShC03-R16	22	11	2	2
sShC07-R16	22	11	2	6
sShC06-R15	22	11	3	5
sShC11-R16	22	11	2	10
sShC05-R13	22	12	1	4
sShC06-R13	22	12	1	5
